			Bx	By	Bz
-300	-240	180	0.02418693	1.649764819	-0.009060124
-300	-240	200	0.014413858	1.685375256	-0.005508541
-300	-240	220	0.000220402	1.725146681	0.005732372
-300	-240	240	-0.016446353	1.767419048	0.013828499
-300	-240	260	-0.027440367	1.81916387	0.028998121
-300	-240	280	-0.052043172	1.881087036	0.054309564
-300	-240	300	-0.071485524	1.951621547	0.073895603
-300	-220	-300	-0.149974093	1.874212584	-0.158620152
-300	-220	-280	-0.111166649	1.819034357	-0.108035227
-300	-220	-260	-0.086341761	1.766616518	-0.082918167
-300	-220	-240	-0.06513	1.727566613	-0.056723496
-300	-220	-220	-0.041903075	1.685659151	-0.041815384
-300	-220	-200	-0.027630695	1.65539418	-0.018442547
-300	-220	-180	-0.021184226	1.630403784	-0.015603886
-300	-220	-160	-0.013683859	1.608371551	-0.010265946
-300	-220	-140	-0.004289048	1.590527265	-0.004081847
-300	-220	-120	0.005393003	1.573216358	0.004357444
-300	-220	-100	0.004939239	1.559795981	0.003819819
-300	-220	-80	0.013710564	1.550724652	0.002651378
-300	-220	-60	0.012447965	1.545594532	0.002459017
-300	-220	-40	0.01955074	1.543808667	0.004445421
-300	-220	-20	0.018343463	1.541233256	0.003571771
-300	-220	0	0.019091973	1.536446365	-0.000510173
-300	-220	20	0.021708094	1.535942279	-0.002330337
-300	-220	40	0.018981	1.538537811	0.000281015
-300	-220	60	0.014325952	1.548397814	5.40E-06
-300	-220	80	0.010143991	1.556450133	-6.04E-05
-300	-220	100	0.006980526	1.564395503	0.00029961
-300	-220	120	0.004034583	1.575893677	0.000509736
-300	-220	140	-0.001648961	1.591055338	0.004027279
-300	-220	160	-0.012703001	1.609080028	0.010934653
-300	-220	180	-0.019858325	1.627878966	0.015277885
-300	-220	200	-0.036125146	1.65439378	0.030334706
-300	-220	220	-0.053130938	1.686044094	0.042862483
-300	-220	240	-0.065550951	1.724112722	0.061702811
-300	-220	260	-0.086848808	1.76870576	0.082573101
-300	-220	280	-0.11049733	1.81864281	0.116500825
-300	-220	300	-0.146499986	1.880515913	0.152327182
-300	-200	-300	-0.204649553	1.786370118	-0.211192174
-300	-200	-280	-0.153494416	1.721694452	-0.152053321
-300	-200	-260	-0.13625685	1.709552129	-0.120382709
-300	-200	-240	-0.110857184	1.672087587	-0.091620165
-300	-200	-220	-0.093271547	1.650669064	-0.069992964
-300	-200	-200	-0.074358188	1.621873611	-0.050969957
-300	-200	-180	-0.059833666	1.597315449	-0.038003502
-300	-200	-160	-0.049052699	1.579579045	-0.026285622
-300	-200	-140	-0.0408304	1.563558027	-0.019755494
-300	-200	-120	-0.037401768	1.557487679	-0.022659595
-300	-200	-100	-0.023609168	1.540029818	-0.007125495
-300	-200	-80	-0.017173347	1.531639284	-0.005647115
-300	-200	-60	-0.013483211	1.524418908	-0.00017875
-300	-200	-40	-0.009089155	1.519187135	0.00065588
-300	-200	-20	-0.007317007	1.51799083	0.002375466
-300	-200	0	-0.006949033	1.517624287	-0.001555274
-300	-200	20	-0.010319911	1.51952992	0.001988972
-300	-200	40	-0.012576404	1.521663437	0.003613326
-300	-200	60	-0.01549438	1.526625546	0.002659503
-300	-200	80	-0.01756864	1.53115762	0.006721862
-300	-200	100	-0.025365975	1.536850492	0.011797783
-300	-200	120	-0.029500188	1.548734405	0.013332812
-300	-200	140	-0.037602553	1.564027119	0.020926821
-300	-200	160	-0.046669033	1.579669067	0.028073146
-300	-200	180	-0.061610318	1.598355797	0.038378464
-300	-200	200	-0.076148438	1.620814356	0.054046595
-300	-200	220	-0.092718899	1.641176736	0.072887734
-300	-200	240	-0.113919532	1.668961124	0.095771457
-300	-200	260	-0.137668115	1.705048921	0.126302995
-300	-200	280	-0.164386253	1.737663945	0.161261738
-300	-200	300	-0.204414692	1.781936675	0.204052735
-300	-180	-300	-0.22781743	1.674994646	-0.236097051
-300	-180	-280	-0.206261411	1.641957404	-0.191749395
-300	-180	-260	-0.172551147	1.622210885	-0.147237084
-300	-180	-240	-0.147677592	1.601369639	-0.117833282
-300	-180	-220	-0.128493137	1.585393341	-0.088136065
-300	-180	-200	-0.10984742	1.56747487	-0.071149127
-300	-180	-180	-0.090205116	1.559460361	-0.060968374
-300	-180	-160	-0.075477845	1.541363882	-0.041676996
-300	-180	-140	-0.065583876	1.528826321	-0.026858244
-300	-180	-120	-0.058338313	1.517559543	-0.021168118
-300	-180	-100	-0.05032581	1.515083197	-0.018650688
-300	-180	-80	-0.044548232	1.506275692	-0.013280468
-300	-180	-60	-0.040476203	1.501479253	-0.008130964
-300	-180	-40	-0.03571319	1.497975438	-0.003062659
-300	-180	-20	-0.032977478	1.494748403	0.001179161
-300	-180	0	-0.032378943	1.494352734	-0.00168673
-300	-180	20	-0.036251654	1.495018651	0.002260727
-300	-180	40	-0.039656372	1.495290406	0.005734662
-300	-180	60	-0.042811548	1.498560648	0.009024157
-300	-180	80	-0.044185586	1.506286361	0.012892685
-300	-180	100	-0.051857696	1.519911584	0.024395946
-300	-180	120	-0.054501123	1.521421812	0.024708003
-300	-180	140	-0.064399294	1.530676223	0.031985617
-300	-180	160	-0.074638281	1.540528312	0.044335196
-300	-180	180	-0.085089134	1.553086041	0.058980567
-300	-180	200	-0.101481638	1.571043488	0.072391734
-300	-180	220	-0.121763099	1.584993497	0.097417359
-300	-180	240	-0.139647505	1.601865663	0.117715584
-300	-180	260	-0.171056202	1.621875049	0.152159196
-300	-180	280	-0.196597582	1.640296814	0.188937408
-300	-180	300	-0.237889102	1.666462076	0.243598014
-300	-160	-300	-0.247377342	1.555051543	-0.252829938
-300	-160	-280	-0.213500121	1.551567734	-0.199424698
-300	-160	-260	-0.186573076	1.543072077	-0.167008124
-300	-160	-240	-0.15609478	1.529355168	-0.130690947
-300	-160	-220	-0.140133923	1.527012892	-0.101223596
-300	-160	-200	-0.119337645	1.517560607	-0.081808396
-300	-160	-180	-0.104972386	1.510054525	-0.062886333
-300	-160	-160	-0.091964237	1.506907224	-0.052471888
-300	-160	-140	-0.082934534	1.500123264	-0.041102034
-300	-160	-120	-0.071490725	1.491962648	-0.028052155
-300	-160	-100	-0.063858236	1.486204612	-0.020571853
