			Bx	By	Bz
-300	-240	-40	3.76E-02	1.16E+00	4.25E-03
-300	-240	-20	3.82E-02	1.16E+00	3.42E-03
-300	-240	0	4.16E-02	1.15E+00	3.14E-03
-300	-240	20	4.14E-02	1.16E+00	-1.88E-05
-300	-240	40	3.76E-02	1.16E+00	-2.29E-03
-300	-240	60	3.64E-02	1.17E+00	-7.89E-03
-300	-240	80	4.02E-02	1.17E+00	-1.23E-02
-300	-240	100	3.73E-02	1.18E+00	-1.15E-02
-300	-240	120	3.00E-02	1.19E+00	-9.97E-03
-300	-240	140	2.24E-02	1.20E+00	-5.62E-03
-300	-240	160	1.67E-02	1.22E+00	-6.36E-03
-300	-240	180	1.17E-02	1.24E+00	-4.96E-03
-300	-240	200	7.65E-03	1.27E+00	-3.64E-04
-300	-240	220	-3.35E-03	1.29E+00	8.39E-03
-300	-240	240	-1.05E-02	1.33E+00	1.36E-02
-300	-240	260	-2.66E-02	1.37E+00	2.74E-02
-300	-240	280	-4.25E-02	1.42E+00	2.48E-02
-300	-240	300	-5.78E-02	1.46E+00	7.28E-02
-300	-220	-300	-1.19E-01	1.41E+00	-1.20E-01
-300	-220	-280	-9.55E-02	1.36E+00	-9.59E-02
-300	-220	-260	-7.07E-02	1.32E+00	-5.77E-02
-300	-220	-240	-5.10E-02	1.29E+00	-3.73E-02
-300	-220	-220	-3.86E-02	1.27E+00	-3.42E-02
-300	-220	-200	-3.08E-02	1.24E+00	-2.70E-02
-300	-220	-180	-2.03E-02	1.22E+00	-8.70E-03
-300	-220	-160	-1.58E-02	1.21E+00	-7.60E-03
-300	-220	-140	-8.39E-03	1.20E+00	-6.76E-03
-300	-220	-120	-2.93E-03	1.19E+00	-1.71E-03
-300	-220	-100	-3.24E-05	1.17E+00	5.57E-04
-300	-220	-80	4.58E-03	1.17E+00	-9.88E-05
-300	-220	-60	6.99E-03	1.16E+00	1.30E-03
-300	-220	-40	1.02E-02	1.16E+00	1.51E-03
-300	-220	-20	1.36E-02	1.15E+00	1.23E-03
-300	-220	0	1.69E-02	1.15E+00	9.54E-04
-300	-220	20	1.29E-02	1.15E+00	5.64E-03
-300	-220	40	9.64E-03	1.15E+00	-1.73E-03
-300	-220	60	1.01E-02	1.16E+00	-1.01E-03
-300	-220	80	1.15E-02	1.17E+00	-9.02E-03
-300	-220	100	4.58E-03	1.18E+00	-3.35E-03
-300	-220	120	4.65E-04	1.18E+00	1.67E-03
-300	-220	140	-6.71E-03	1.20E+00	9.17E-03
-300	-220	160	-1.38E-02	1.21E+00	1.18E-02
-300	-220	180	-1.86E-02	1.23E+00	1.49E-02
-300	-220	200	-3.21E-02	1.24E+00	2.31E-02
-300	-220	220	-4.25E-02	1.27E+00	3.32E-02
-300	-220	240	-4.96E-02	1.29E+00	4.38E-02
-300	-220	260	-7.29E-02	1.32E+00	6.57E-02
-300	-220	280	-9.57E-02	1.36E+00	8.55E-02
-300	-220	300	-1.18E-01	1.42E+00	1.24E-01
-300	-200	-300	-1.57E-01	1.32E+00	-1.63E-01
-300	-200	-280	-1.31E-01	1.30E+00	-1.25E-01
-300	-200	-260	-1.03E-01	1.29E+00	-9.64E-02
